application_id,job_id,candidate_id,selected,match_score,application_date
APP0016364,JOB0062757,CAND0048892,0,0.14,2025-06-24
APP0122030,JOB0074871,CAND0098827,1,0.403,2026-01-04
APP0078727,JOB0076892,CAND0062188,0,0.547,2025-05-17
APP0147396,JOB0104496,CAND0144454,0,0.382,2025-03-22
APP0111597,JOB0046586,CAND0027882,1,0.2,2025-03-08
APP0176570,JOB0055731,CAND0154663,1,0.41,2025-09-14
APP0092270,JOB0136266,CAND0156475,0,0.44,2025-06-18
APP0127748,JOB0024358,CAND0097797,1,0.14,2025-03-24
APP0196916,JOB0016292,CAND0156510,0,0.29,2026-01-28
APP0047691,JOB0061363,CAND0018845,0,0.23,2025-08-15
APP0043755,JOB0103717,CAND0054606,1,0.38,2025-09-24
APP0142885,JOB0062132,CAND0000482,0,0.242,2025-05-30
APP0183017,JOB0019409,CAND0010133,0,0.3,2025-09-07
APP0062805,JOB0024763,CAND0194130,0,0.23,2025-04-13
APP0005556,JOB0051307,CAND0093439,1,0.38,2025-09-14
APP0182967,JOB0098027,CAND0192304,0,0.211,2025-02-12
APP0063474,JOB0085214,CAND0155533,0,0.14,2025-04-29
APP0074118,JOB0025235,CAND0180101,0,0.231,2025-06-18
APP0136311,JOB0083730,CAND0105432,0,0.26,2025-09-22
APP0146885,JOB0056351,CAND0170136,0,0.14,2025-08-31
APP0190504,JOB0012001,CAND0050432,1,0.473,2025-04-09
APP0085037,JOB0052329,CAND0100084,0,0.301,2025-10-15
APP0111723,JOB0041916,CAND0053124,0,0.2,2025-05-25
APP0168970,JOB0017199,CAND0175797,0,0.44,2026-01-25
APP0012633,JOB0106703,CAND0077604,0,0.4,2025-05-04
APP0191303,JOB0081366,CAND0188448,1,0.497,2025-04-23
APP0107398,JOB0088948,CAND0079804,0,0.32,2026-01-29
APP0171601,JOB0079248,CAND0184477,1,0.61,2026-01-20
APP0188378,JOB0013057,CAND0023190,0,0.38,2025-04-04
APP0006018,JOB0044727,CAND0074257,0,0.23,2025-07-06
APP0115068,JOB0137450,CAND0130959,0,0.29,2025-05-13
APP0188725,JOB0110008,CAND0101349,1,0.32,2025-09-30
APP0061640,JOB0135602,CAND0125352,0,0.196,2025-08-30
APP0126728,JOB0139440,CAND0114182,1,0.32,2025-08-21
APP0107075,JOB0128118,CAND0199170,1,0.45,2025-03-18
APP0039479,JOB0120793,CAND0155530,0,0.34,2025-02-21
APP0172664,JOB0059647,CAND0023884,0,0.32,2025-12-03
APP0079761,JOB0039735,CAND0061715,1,0.41,2025-11-17
APP0120885,JOB0002631,CAND0176095,0,0.48,2025-10-08
APP0173548,JOB0149554,CAND0100831,0,0.41,2025-04-04
APP0081720,JOB0004640,CAND0086903,0,0.427,2025-04-25
APP0014210,JOB0141433,CAND0147438,0,0.38,2025-11-29
APP0118048,JOB0053989,CAND0037740,1,0.422,2026-02-01
APP0133140,JOB0035344,CAND0133530,0,0.14,2025-05-31
APP0096205,JOB0145485,CAND0068502,0,0.35,2025-08-27
APP0037001,JOB0000371,CAND0074885,0,0.14,2026-01-26
APP0164692,JOB0089946,CAND0098219,1,0.57,2025-04-07
APP0039903,JOB0025256,CAND0107989,0,0.29,2025-04-28
APP0112051,JOB0080703,CAND0191386,1,0.32,2025-09-15
APP0176245,JOB0037133,CAND0125323,0,0.272,2025-11-27
APP0125596,JOB0134799,CAND0179783,1,0.196,2025-03-12
APP0021489,JOB0059921,CAND0063017,0,0.14,2025-10-18
APP0119965,JOB0051509,CAND0130299,0,0.32,2025-04-12
APP0030900,JOB0053054,CAND0051845,1,0.42,2025-12-16
APP0064561,JOB0064725,CAND0130979,0,0.41,2025-09-01
APP0107402,JOB0126400,CAND0187135,0,0.182,2025-05-31
APP0102269,JOB0025635,CAND0034845,0,0.29,2025-06-05
APP0161203,JOB0112248,CAND0138164,0,0.14,2025-06-24
APP0182899,JOB0092515,CAND0153233,0,0.14,2026-01-20
APP0129251,JOB0137183,CAND0012865,1,0.52,2025-04-15
APP0101050,JOB0106412,CAND0030584,0,0.41,2025-04-02
APP0163923,JOB0128381,CAND0132235,0,0.14,2025-02-11
APP0145591,JOB0068620,CAND0088672,0,0.29,2025-06-24
APP0193532,JOB0146642,CAND0172670,1,0.211,2026-01-13
APP0199757,JOB0131368,CAND0198062,0,0.29,2025-04-14
APP0084995,JOB0104941,CAND0092344,0,0.182,2025-07-21
APP0181966,JOB0033727,CAND0037888,0,0.14,2025-02-11
APP0155256,JOB0003339,CAND0094796,1,0.505,2025-11-12
APP0067738,JOB0122491,CAND0094685,0,0.32,2025-05-10
APP0022780,JOB0025351,CAND0054307,0,0.41,2025-08-10
APP0074751,JOB0044250,CAND0188779,1,0.14,2025-05-31
APP0103415,JOB0134163,CAND0112132,1,0.38,2025-05-26
APP0182764,JOB0026213,CAND0104096,0,0.29,2025-10-01
APP0195044,JOB0015910,CAND0127552,0,0.17,2025-11-28
APP0195675,JOB0048030,CAND0087927,1,0.328,2025-11-05
APP0114565,JOB0039054,CAND0147263,1,0.452,2025-03-04
APP0039540,JOB0101778,CAND0129763,0,0.32,2025-07-22
APP0015580,JOB0009362,CAND0172108,0,0.41,2025-07-04
APP0022163,JOB0074809,CAND0123774,0,0.14,2025-03-26
APP0158982,JOB0120140,CAND0155950,0,0.41,2025-03-10
APP0193808,JOB0019448,CAND0091681,0,0.14,2025-09-19
APP0165987,JOB0038296,CAND0003207,0,0.26,2025-03-20
APP0188431,JOB0127831,CAND0167844,0,0.471,2026-01-08
APP0189272,JOB0043162,CAND0006769,0,0.2,2025-12-12
APP0195246,JOB0117157,CAND0188374,1,0.44,2025-09-17
APP0070047,JOB0019692,CAND0152057,0,0.455,2025-08-09
APP0191914,JOB0034092,CAND0041400,1,0.2,2025-12-22
APP0196452,JOB0051844,CAND0151879,0,0.23,2025-08-23
APP0148578,JOB0053960,CAND0167198,0,0.182,2025-02-21
APP0074896,JOB0094223,CAND0141642,0,0.38,2025-06-09
APP0045534,JOB0038355,CAND0190881,0,0.35,2025-10-27
APP0076297,JOB0016440,CAND0076868,1,0.6,2025-12-14
APP0032988,JOB0128029,CAND0110532,0,0.17,2026-01-20
APP0068288,JOB0040264,CAND0198351,1,0.61,2025-02-09
APP0074959,JOB0079443,CAND0017330,0,0.29,2025-11-22
APP0183183,JOB0085434,CAND0062679,0,0.2,2025-10-09
APP0046908,JOB0004324,CAND0062511,0,0.41,2025-09-19
APP0170329,JOB0109426,CAND0110523,0,0.202,2025-10-22
APP0049581,JOB0101590,CAND0058887,1,0.17,2025-07-17
APP0043274,JOB0001455,CAND0014427,0,0.35,2026-01-25
APP0092403,JOB0143471,CAND0151104,0,0.44,2025-05-14
APP0141360,JOB0148039,CAND0080277,0,0.331,2025-07-19
APP0091496,JOB0136976,CAND0085166,1,0.376,2025-10-20
APP0067539,JOB0043757,CAND0096913,0,0.41,2025-04-14
APP0172123,JOB0118247,CAND0188298,0,0.29,2025-06-30
APP0025867,JOB0079246,CAND0120470,0,0.14,2025-08-10
APP0053245,JOB0112904,CAND0066966,0,0.32,2025-06-06
APP0007584,JOB0047169,CAND0121432,0,0.2,2025-12-13
APP0083911,JOB0112170,CAND0197183,0,0.251,2025-12-09
APP0138587,JOB0047849,CAND0198529,0,0.29,2025-09-02
APP0118653,JOB0109691,CAND0042732,1,0.517,2025-05-08
APP0054001,JOB0011113,CAND0090842,0,0.32,2025-12-04
APP0064343,JOB0106842,CAND0154149,0,0.14,2025-03-19
APP0058935,JOB0058125,CAND0174648,0,0.362,2025-03-11
APP0118726,JOB0123929,CAND0074558,0,0.14,2025-04-09
APP0199544,JOB0018064,CAND0193619,1,0.26,2025-04-27
APP0143216,JOB0086200,CAND0021740,0,0.23,2025-03-03
APP0080073,JOB0095167,CAND0175058,1,0.38,2025-03-15
APP0057973,JOB0002647,CAND0165683,1,0.51,2025-03-12
APP0021565,JOB0083040,CAND0128155,1,0.24,2026-02-07
APP0039657,JOB0053980,CAND0160209,0,0.521,2025-09-05
APP0183823,JOB0051392,CAND0173332,0,0.23,2025-03-09
APP0105305,JOB0003637,CAND0067132,0,0.14,2025-11-26
APP0098603,JOB0060325,CAND0108218,0,0.14,2025-04-07
APP0025947,JOB0096250,CAND0132811,0,0.14,2025-03-18
APP0171076,JOB0075637,CAND0073176,1,0.23,2025-09-20
APP0197744,JOB0037303,CAND0008248,1,0.362,2025-08-20
APP0079704,JOB0148375,CAND0174223,0,0.23,2025-02-10
APP0084837,JOB0083352,CAND0129984,0,0.32,2025-07-18
APP0150069,JOB0013801,CAND0025079,1,0.44,2026-01-10
APP0079678,JOB0106693,CAND0070849,0,0.2,2025-04-20
APP0175116,JOB0092399,CAND0074711,1,0.23,2025-08-22
APP0044887,JOB0119629,CAND0090515,1,0.475,2025-10-14
APP0060746,JOB0135121,CAND0091462,0,0.23,2025-05-17
APP0153093,JOB0135258,CAND0033709,0,0.466,2025-11-10
APP0106363,JOB0106138,CAND0099064,0,0.38,2025-11-11
APP0003799,JOB0042606,CAND0155422,1,0.487,2025-11-27
APP0053759,JOB0000016,CAND0002781,0,0.29,2025-12-11
APP0042881,JOB0031663,CAND0061909,0,0.44,2025-09-19
APP0141091,JOB0084686,CAND0075987,1,0.14,2025-12-10
APP0192986,JOB0072022,CAND0141901,1,0.463,2025-02-23
APP0068539,JOB0066778,CAND0124960,0,0.331,2025-08-16
APP0166915,JOB0120417,CAND0161788,1,0.41,2025-05-15
APP0187160,JOB0043317,CAND0033788,0,0.2,2025-06-14
APP0093786,JOB0140764,CAND0193261,0,0.14,2025-11-18
APP0123660,JOB0000489,CAND0030335,1,0.24,2025-11-24
APP0090585,JOB0027374,CAND0088600,0,0.14,2025-03-08
APP0179595,JOB0131783,CAND0082208,0,0.23,2025-07-19
APP0156313,JOB0127548,CAND0092393,0,0.23,2025-12-22
APP0138042,JOB0145592,CAND0102614,1,0.38,2026-01-12
APP0126336,JOB0097748,CAND0152708,1,0.4,2025-11-07
APP0088929,JOB0143028,CAND0100013,0,0.328,2025-08-10
APP0167064,JOB0043099,CAND0071216,0,0.14,2025-07-14
APP0106012,JOB0095417,CAND0074728,1,0.442,2025-03-13
APP0159302,JOB0119541,CAND0029049,1,0.24,2025-06-13
APP0148410,JOB0076799,CAND0137538,1,0.29,2025-05-25
APP0142276,JOB0068140,CAND0035814,0,0.23,2025-05-12
APP0094943,JOB0003923,CAND0160576,0,0.24,2025-10-02
APP0022493,JOB0145470,CAND0038090,1,0.38,2025-05-08
APP0194942,JOB0123248,CAND0043543,0,0.41,2025-05-07
APP0002185,JOB0041517,CAND0135614,1,0.362,2025-11-18
APP0125697,JOB0037387,CAND0049890,0,0.32,2025-05-24
APP0171739,JOB0051570,CAND0025963,0,0.14,2025-03-10
APP0084538,JOB0075938,CAND0078470,1,0.382,2025-04-23
APP0179476,JOB0038116,CAND0021540,0,0.451,2025-08-17
APP0015412,JOB0101968,CAND0019807,1,0.463,2025-06-25
APP0195746,JOB0071861,CAND0053818,0,0.32,2025-10-19
APP0006744,JOB0139858,CAND0180076,0,0.14,2025-08-05
